total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
41	19	4	23	41	4	60	8.41463	0.00006	0.06704	False	GOBP_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
25	12	1	15	49	1	63	19.28571	0.00023	0.13810	False	GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
15	9	3	24	40	9	55	3.66667	0.00424	0.92362	False	GOBP_MECHANOSENSORY_BEHAVIOR
25	15	5	18	46	5	59	4.61739	0.00492	0.92362	False	GOBP_NEGATIVE_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION
32	14	7	18	46	5	59	4.61739	0.00492	0.92362	False	GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL
20	12	4	16	48	4	60	5.00000	0.00628	0.92362	False	GOBP_CARDIAC_RIGHT_VENTRICLE_MORPHOGENESIS
24	8	3	20	44	7	57	3.70130	0.00851	0.92362	False	GOBP_INTERLEUKIN_5_PRODUCTION
26	16	8	31	33	16	48	2.81818	0.00989	0.92362	False	GOBP_RETINA_LAYER_FORMATION
31	18	9	31	33	16	48	2.81818	0.00989	0.92362	False	GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS
28	12	4	18	46	6	58	3.78261	0.01163	0.92362	False	GOBP_GLUTAMATE_SECRETION
38	17	5	18	46	6	58	3.78261	0.01163	0.92362	False	GOBP_POSITIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM
27	13	6	22	42	9	55	3.20106	0.01253	0.92362	False	GOBP_ADRENAL_GLAND_DEVELOPMENT
22	9	2	13	51	3	61	5.18301	0.01402	0.92362	False	GOBP_RESPONSE_TO_LEPTIN
25	10	4	13	51	3	61	5.18301	0.01402	0.92362	False	GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS
