geneset	n_mutated_meta	n_mutated_nonmeta	log_odds_ratio	odds_ratio	p_value	q_value	significant
GOBP_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	23	4	2.53085	12.56422	0.00016	0.18787	False
GOBP_MECHANOSENSORY_BEHAVIOR	24	9	1.51563	4.55229	0.00213	0.59311	False
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	15	1	3.42411	30.69518	0.00308	0.59311	False
GOBP_NEGATIVE_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION	18	5	1.66601	5.29103	0.00389	0.59311	False
GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL	18	5	1.64724	5.19261	0.00393	0.59311	False
GOBP_RETINA_LAYER_FORMATION	31	16	1.21411	3.36729	0.00419	0.59311	False
GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	31	16	1.10626	3.02304	0.00577	0.59311	False
GOBP_CARDIAC_RIGHT_VENTRICLE_MORPHOGENESIS	16	4	1.63758	5.14272	0.00635	0.59311	False
GOBP_INTERLEUKIN_5_PRODUCTION	20	7	1.32855	3.77558	0.00659	0.59311	False
GOBP_GLUTAMATE_SECRETION	18	6	1.53324	4.63315	0.00665	0.59311	False
GOBP_ADRENAL_GLAND_DEVELOPMENT	22	9	1.31229	3.71468	0.00690	0.59311	False
GOBP_SUBPALLIUM_DEVELOPMENT	31	17	1.10599	3.02223	0.00798	0.59311	False
GOBP_STRIATUM_DEVELOPMENT	31	17	1.10599	3.02223	0.00798	0.59311	False
GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	24	11	1.22922	3.41856	0.00807	0.59311	False
GOBP_POSITIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	18	6	1.41648	4.12260	0.00807	0.59311	False
GOBP_SA_NODE_CELL_TO_ATRIAL_CARDIAC_MUSCLE_CELL_COMMUNICATION	13	25	-1.21608	0.29639	0.00891	0.59311	False
GOBP_AXIS_ELONGATION	20	8	1.33757	3.80977	0.00923	0.59311	False
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	20	33	-1.05535	0.34807	0.00982	0.59311	False
GOBP_RESPONSE_TO_LEPTIN	13	3	1.76660	5.85092	0.01178	0.59311	False
GOBP_SPERMATID_NUCLEUS_DIFFERENTIATION	14	4	1.67687	5.34877	0.01185	0.59311	False
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	24	12	1.15078	3.16065	0.01345	0.59311	False
GOBP_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS	13	3	1.66186	5.26912	0.01358	0.59311	False
GOBP_SMOOTH_MUSCLE_TISSUE_DEVELOPMENT	20	9	1.30634	3.69263	0.01389	0.59311	False
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING	14	26	-1.04663	0.35112	0.01428	0.59311	False
GOBP_ANTEROGRADE_AXONAL_TRANSPORT	26	14	1.11879	3.06115	0.01439	0.59311	False
GOBP_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT	18	7	1.27262	3.57019	0.01458	0.59311	False
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	14	4	1.50359	4.49782	0.01499	0.59311	False
GOBP_POSITIVE_REGULATION_OF_HEART_RATE	22	10	1.07692	2.93562	0.01562	0.59311	False
