observed	background	n_replicates	p_value	q_value	significant	geneset
26	16.56000	1000	0.00500	0.32068	False	KEGG_MEDICUS_VARIANT_MLL_AF4_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION
12	5.51900	1000	0.00899	0.32068	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_AXIN_TO_WNT_SIGNALING_PATHWAY
17	10.05600	1000	0.01199	0.32068	False	KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY
20	12.29500	1000	0.01499	0.32068	False	KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY
12	5.96600	1000	0.01698	0.32068	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_APC_TO_WNT_SIGNALING_PATHWAY
12	6.29800	1000	0.01898	0.32068	False	KEGG_MEDICUS_REFERENCE_HORMONE_LIKE_CYTOKINE_TO_JAK_STAT_SIGNALING_PATHWAY
10	4.82000	1000	0.02098	0.32068	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KRAS_NRAS_TO_PI3K_SIGNALING_PATHWAY
17	10.17800	1000	0.02398	0.32068	False	KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY
10	5.19200	1000	0.03297	0.37898	False	KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY
17	11.24700	1000	0.03796	0.37898	False	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY
11	6.15600	1000	0.03896	0.37898	False	KEGG_MEDICUS_REFERENCE_HGF_MET_PI3K_SIGNALING_PATHWAY
21	14.48500	1000	0.04396	0.39194	False	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY
20	14.02800	1000	0.05594	0.40085	False	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY
16	11.11700	1000	0.05594	0.40085	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SPTBN2_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY
11	6.65100	1000	0.05794	0.40085	False	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PI3K_SIGNALING_PATHWAY
16	10.88900	1000	0.05994	0.40085	False	KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY
11	7.00800	1000	0.07393	0.44539	False	KEGG_MEDICUS_VARIANT_MLL_ENL_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION
10	5.99900	1000	0.07493	0.44539	False	KEGG_MEDICUS_REFERENCE_CD80_CD86_CD28_PI3K_SIGNALING_PATHWAY
10	6.22800	1000	0.08791	0.46011	False	KEGG_MEDICUS_REFERENCE_BMP_HAMP_SIGNALING_PATHWAY
10	6.26400	1000	0.08991	0.46011	False	KEGG_MEDICUS_VARIANT_BCR_ABL_FUSION_KINASE_TO_PI3K_SIGNALING_PATHWAY
12	8.02500	1000	0.09291	0.46011	False	KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY
10	6.36000	1000	0.09590	0.46011	False	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01339
14	9.83300	1000	0.09890	0.46011	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY
16	11.74200	1000	0.11089	0.48696	False	KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY
10	6.72800	1000	0.11988	0.48696	False	KEGG_MEDICUS_REFERENCE_DOUBLE_STRAND_BREAK_SIGNALING
