total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
26	19	8	26	38	14	50	2.44361	0.03526	1.00000	False	KEGG_MEDICUS_VARIANT_MLL_AF4_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION
17	7	4	12	52	4	60	3.46154	0.05873	1.00000	False	KEGG_MEDICUS_REFERENCE_HORMONE_LIKE_CYTOKINE_TO_JAK_STAT_SIGNALING_PATHWAY
10	6	3	12	52	4	60	3.46154	0.05873	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_AXIN_TO_WNT_SIGNALING_PATHWAY
37	13	11	20	44	12	52	1.96970	0.15242	1.00000	False	KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY
36	9	4	10	54	4	60	2.77778	0.15495	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION
20	8	5	10	54	4	60	2.77778	0.15495	1.00000	False	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY
11	7	4	10	54	4	60	2.77778	0.15495	1.00000	False	KEGG_MEDICUS_REFERENCE_BMP_HAMP_SIGNALING_PATHWAY
25	9	6	11	53	5	59	2.44906	0.18021	1.00000	False	KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY
30	8	5	11	53	5	59	2.44906	0.18021	1.00000	False	KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION
30	13	9	17	47	10	54	1.95319	0.19308	1.00000	False	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY
20	13	7	17	47	10	54	1.95319	0.19308	1.00000	False	KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY
12	6	4	12	52	6	58	2.23077	0.20279	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_APC_TO_WNT_SIGNALING_PATHWAY
31	12	8	18	46	11	53	1.88538	0.20476	1.00000	False	KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_PLCB_PKC_SIGNALING_PATHWAY
29	11	7	13	51	7	57	2.07563	0.22298	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY
29	11	7	13	51	7	57	2.07563	0.22298	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY
20	10	6	14	50	8	56	1.96000	0.24107	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY
28	8	6	10	54	5	59	2.18519	0.27146	1.00000	False	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR
45	14	9	16	48	10	54	1.80000	0.27186	1.00000	False	KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY
10	8	6	16	48	10	54	1.80000	0.27186	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SPTBN2_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY
29	11	9	16	48	10	54	1.80000	0.27186	1.00000	False	KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY
40	11	13	11	53	17	47	0.57381	0.28498	1.00000	False	KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
21	11	5	11	53	6	58	2.00629	0.29753	1.00000	False	KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY
45	15	12	20	44	14	50	1.62338	0.31705	1.00000	False	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY
46	16	13	21	43	15	49	1.59535	0.32569	1.00000	False	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY
26	10	10	14	50	9	55	1.71111	0.35739	1.00000	False	KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
25	11	10	15	49	10	54	1.65306	0.37279	1.00000	False	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL
11	8	6	15	49	10	54	1.65306	0.37279	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_PRKCG_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY
21	10	11	12	52	17	47	0.63801	0.39863	1.00000	False	KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING
21	9	10	12	52	17	47	0.63801	0.39863	1.00000	False	KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING
17	9	6	10	54	6	58	1.79012	0.42354	1.00000	False	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY
17	7	4	10	54	6	58	1.79012	0.42354	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_PRKACA_TO_ACTH_CORTISOL_SIGNALING_PATHWAY
17	7	4	10	54	6	58	1.79012	0.42354	1.00000	False	KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY
8	5	4	10	54	6	58	1.79012	0.42354	1.00000	False	KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY
13	7	4	11	53	7	57	1.69003	0.44641	1.00000	False	KEGG_MEDICUS_VARIANT_MLL_ENL_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION
10	5	4	11	53	7	57	1.69003	0.44641	1.00000	False	KEGG_MEDICUS_REFERENCE_HGF_MET_PI3K_SIGNALING_PATHWAY
18	8	5	11	53	7	57	1.69003	0.44641	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PRKAR1A_TO_ACTH_CORTISOL_SIGNALING_PATHWAY
26	8	6	13	51	9	55	1.55773	0.48283	1.00000	False	KEGG_MEDICUS_REFERENCE_CCR5_GNB_G_PLCB_G_PKC_SIGNALING_PATHWAY
26	10	12	10	54	14	50	0.66138	0.49752	1.00000	False	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY
30	10	14	11	53	15	49	0.67799	0.51041	1.00000	False	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY
13	9	8	17	47	13	51	1.41899	0.53180	1.00000	False	KEGG_MEDICUS_REFERENCE_MGLUR1_TRPC3_SIGNALING_PATHWAY
31	12	11	17	47	13	51	1.41899	0.53180	1.00000	False	KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY
