geneset	n_mutated_meta	n_mutated_nonmeta	log_odds_ratio	odds_ratio	p_value	q_value	significant
KEGG_MEDICUS_VARIANT_MLL_AF4_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	26	14	0.95393	2.59589	0.02152	0.86704	False
KEGG_MEDICUS_REFERENCE_HORMONE_LIKE_CYTOKINE_TO_JAK_STAT_SIGNALING_PATHWAY	12	4	1.34696	3.84572	0.03553	0.86704	False
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_AXIN_TO_WNT_SIGNALING_PATHWAY	12	4	1.24078	3.45832	0.04156	0.86704	False
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	10	4	1.19615	3.30736	0.08312	0.86704	False
KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	20	12	0.74615	2.10888	0.09670	0.86704	False
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY	10	4	1.04247	2.83621	0.09941	0.86704	False
KEGG_MEDICUS_REFERENCE_BMP_HAMP_SIGNALING_PATHWAY	10	4	1.02843	2.79668	0.10095	0.86704	False
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	11	5	0.93564	2.54885	0.11453	0.86704	False
KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	11	5	0.90990	2.48408	0.11775	0.86704	False
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	17	10	0.71779	2.04990	0.12766	0.86704	False
KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY	17	10	0.69302	1.99975	0.13233	0.86704	False
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_APC_TO_WNT_SIGNALING_PATHWAY	12	6	0.79976	2.22502	0.13580	0.86704	False
KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_PLCB_PKC_SIGNALING_PATHWAY	18	11	0.66225	1.93914	0.14083	0.86704	False
