observed	background	n_replicates	p_value	q_value	significant	geneset
22	7.37800	1000	0.00100	0.04508	True	REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS
23	11.24000	1000	0.00100	0.04508	True	REACTOME_STABILIZATION_OF_P53
22	11.17500	1000	0.00100	0.04508	True	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1
35	13.87100	1000	0.00100	0.04508	True	REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES
24	12.16900	1000	0.00100	0.04508	True	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS
27	12.91200	1000	0.00100	0.04508	True	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES
23	12.17400	1000	0.00100	0.04508	True	REACTOME_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION
21	8.00800	1000	0.00100	0.04508	True	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS
26	16.02000	1000	0.00200	0.07213	False	REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES
25	12.90300	1000	0.00200	0.07213	False	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES
26	16.10000	1000	0.00300	0.09016	False	REACTOME_IRS_MEDIATED_SIGNALLING
23	14.11900	1000	0.00300	0.09016	False	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX
27	17.58000	1000	0.00400	0.11097	False	REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES
24	15.41600	1000	0.00500	0.12728	False	REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS
17	9.64300	1000	0.00599	0.12728	False	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2
11	4.67700	1000	0.00599	0.12728	False	REACTOME_SPECIFICATION_OF_THE_NEURAL_PLATE_BORDER
