total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
24	11	4	15	49	3	61	6.22449	0.00407	1.00000	False	REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS
30	10	17	10	54	22	42	0.35354	0.02385	1.00000	False	REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS
44	16	11	22	42	10	54	2.82857	0.02385	1.00000	False	REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM
37	14	8	19	45	8	56	2.95556	0.02906	1.00000	False	REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS
13	6	2	10	54	2	62	5.74074	0.03003	1.00000	False	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION
35	14	14	15	49	27	37	0.41950	0.03775	1.00000	False	REACTOME_SLC_MEDIATED_TRANSPORT_OF_INORGANIC_ANIONS
25	11	8	22	42	12	52	2.26984	0.07081	1.00000	False	REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS
49	21	14	22	42	12	52	2.26984	0.07081	1.00000	False	REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK
15	6	3	10	54	3	61	3.76543	0.07589	1.00000	False	REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS
29	17	13	24	40	14	50	2.14286	0.08095	1.00000	False	REACTOME_MYOGENESIS
31	12	8	24	40	14	50	2.14286	0.08095	1.00000	False	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS
37	17	10	19	45	10	54	2.28000	0.09014	1.00000	False	REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES
31	14	9	19	45	10	54	2.28000	0.09014	1.00000	False	REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT
29	10	9	19	45	10	54	2.28000	0.09014	1.00000	False	REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION
18	9	4	11	53	4	60	3.11321	0.09670	1.00000	False	REACTOME_DEVELOPMENTAL_LINEAGE_OF_MULTIPOTENT_PANCREATIC_PROGENITOR_CELLS
38	11	4	11	53	4	60	3.11321	0.09670	1.00000	False	REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC
35	11	7	15	49	7	57	2.49271	0.09952	1.00000	False	REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER
21	12	7	15	49	7	57	2.49271	0.09952	1.00000	False	REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION
23	15	12	30	34	20	44	1.94118	0.10257	1.00000	False	REACTOME_LONG_TERM_POTENTIATION
42	20	11	21	43	12	52	2.11628	0.10519	1.00000	False	REACTOME_RHOF_GTPASE_CYCLE
39	10	5	12	52	5	59	2.72308	0.11622	1.00000	False	REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D
18	10	4	12	52	5	59	2.72308	0.11622	1.00000	False	REACTOME_FORMATION_OF_THE_POLYBROMO_BAF_PBAF_COMPLEX
44	11	9	23	41	14	50	2.00348	0.11818	1.00000	False	REACTOME_STABILIZATION_OF_P53
42	18	14	23	41	14	50	2.00348	0.11818	1.00000	False	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP
30	12	18	15	49	24	40	0.51020	0.12392	1.00000	False	REACTOME_LAMININ_INTERACTIONS
21	13	10	24	40	15	49	1.96000	0.12392	1.00000	False	REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION
44	13	11	25	39	16	48	1.92308	0.12916	1.00000	False	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES
23	7	12	10	54	18	46	0.47325	0.13362	1.00000	False	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS
44	14	8	18	46	10	54	2.11304	0.13362	1.00000	False	REACTOME_AGGREPHAGY
44	12	7	13	51	6	58	2.46405	0.13432	1.00000	False	REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274
49	18	13	27	37	18	46	1.86486	0.13820	1.00000	False	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES
21	12	8	27	37	18	46	1.86486	0.13820	1.00000	False	REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES
34	16	12	19	45	11	53	2.03434	0.14340	1.00000	False	REACTOME_SIGNALING_BY_WNT_IN_CANCER
31	12	8	14	50	7	57	2.28000	0.15099	1.00000	False	REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION
23	12	7	14	50	7	57	2.28000	0.15099	1.00000	False	REACTOME_RHOBTB1_GTPASE_CYCLE
31	16	10	20	44	12	52	1.96970	0.15242	1.00000	False	REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS
24	7	4	10	54	4	60	2.77778	0.15495	1.00000	False	REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING
7	5	3	10	54	4	60	2.77778	0.15495	1.00000	False	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K
23	9	13	13	51	21	43	0.52194	0.16072	1.00000	False	REACTOME_ATTACHMENT_OF_BACTERIA_TO_EPITHELIAL_CELLS
38	18	14	21	43	13	51	1.91592	0.16072	1.00000	False	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS
33	10	7	15	49	8	56	2.14286	0.16629	1.00000	False	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS
37	11	6	15	49	8	56	2.14286	0.16629	1.00000	False	REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES
44	15	11	23	41	15	49	1.83252	0.17527	1.00000	False	REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX
40	11	15	15	49	23	41	0.54570	0.17527	1.00000	False	REACTOME_INFECTION_WITH_ENTEROBACTERIA
50	11	5	11	53	5	59	2.44906	0.18021	1.00000	False	REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21
15	8	5	11	53	5	59	2.44906	0.18021	1.00000	False	REACTOME_PROLACTIN_RECEPTOR_SIGNALING
22	11	5	11	53	5	59	2.44906	0.18021	1.00000	False	REACTOME_NPAS4_REGULATES_EXPRESSION_OF_TARGET_GENES
16	6	3	11	53	5	59	2.44906	0.18021	1.00000	False	REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX
37	9	16	10	54	17	47	0.51198	0.19308	1.00000	False	REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM
24	10	9	17	47	10	54	1.95319	0.19308	1.00000	False	REACTOME_DARPP_32_EVENTS
29	11	6	12	52	6	58	2.23077	0.20279	1.00000	False	REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS
27	11	6	12	52	6	58	2.23077	0.20279	1.00000	False	REACTOME_CARDIOGENESIS
20	11	14	29	35	21	43	1.69660	0.20455	1.00000	False	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES
28	15	9	19	45	12	52	1.82963	0.21540	1.00000	False	REACTOME_TRP_CHANNELS
39	13	10	35	29	27	37	1.65390	0.21556	1.00000	False	REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES
24	10	6	13	51	7	57	2.07563	0.22298	1.00000	False	REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION
31	11	7	13	51	7	57	2.07563	0.22298	1.00000	False	REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING
45	16	13	14	50	21	43	0.57333	0.23390	1.00000	False	REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS
44	18	17	21	43	14	50	1.74419	0.23390	1.00000	False	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS
40	13	12	14	50	21	43	0.57333	0.23390	1.00000	False	REACTOME_MAP2K_AND_MAPK_ACTIVATION
20	9	10	21	43	14	50	1.74419	0.23390	1.00000	False	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS
17	9	6	14	50	8	56	1.96000	0.24107	1.00000	False	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS
45	12	8	14	50	8	56	1.96000	0.24107	1.00000	False	REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL
41	14	11	23	41	16	48	1.68293	0.24909	1.00000	False	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX
47	11	20	16	48	23	41	0.59420	0.24909	1.00000	False	REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING
46	16	12	23	41	16	48	1.68293	0.24909	1.00000	False	REACTOME_KIDNEY_DEVELOPMENT
47	14	8	15	49	9	55	1.87075	0.25729	1.00000	False	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME
