geneset	n_mutated_meta	n_mutated_nonmeta	log_odds_ratio	odds_ratio	p_value	q_value	significant
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	15	3	1.84885	6.35253	0.00551	0.84129	False
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	10	22	-1.34915	0.25946	0.00696	0.84129	False
REACTOME_SLC_MEDIATED_TRANSPORT_OF_INORGANIC_ANIONS	15	27	-1.08474	0.33799	0.01252	0.84129	False
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	22	10	1.09053	2.97586	0.01518	0.84129	False
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	19	8	1.10620	3.02285	0.01981	0.84129	False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION	10	2	1.82435	6.19875	0.02612	0.84129	False
REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK	22	12	0.89364	2.44402	0.04285	0.84129	False
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS	10	3	1.52622	4.60075	0.04341	0.84129	False
REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS	22	12	0.87710	2.40392	0.04425	0.84129	False
REACTOME_MYOGENESIS	24	14	0.88193	2.41556	0.04447	0.84129	False
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	19	10	0.90524	2.47253	0.05428	0.84129	False
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	19	10	0.89323	2.44300	0.05537	0.84129	False
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	11	4	1.26679	3.54943	0.05541	0.84129	False
REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT	19	10	0.89002	2.43517	0.05580	0.84129	False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	24	14	0.76378	2.14637	0.05624	0.84129	False
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	15	7	1.03494	2.81494	0.05652	0.84129	False
REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER	15	7	1.00254	2.72520	0.05959	0.84129	False
REACTOME_LONG_TERM_POTENTIATION	30	20	0.74420	2.10475	0.06226	0.84129	False
REACTOME_LAMININ_INTERACTIONS	15	24	-0.77192	0.46212	0.06385	0.84129	False
REACTOME_DEVELOPMENTAL_LINEAGE_OF_MULTIPOTENT_PANCREATIC_PROGENITOR_CELLS	11	4	1.14059	3.12860	0.06494	0.84129	False
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	10	18	-0.87522	0.41677	0.06534	0.84129	False
REACTOME_RHOF_GTPASE_CYCLE	21	12	0.81491	2.25898	0.06566	0.84129	False
REACTOME_STABILIZATION_OF_P53	23	14	0.79922	2.22381	0.06881	0.84129	False
REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D	12	5	1.08358	2.95525	0.07023	0.84129	False
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	23	14	0.77344	2.16721	0.07250	0.84129	False
REACTOME_AGGREPHAGY	18	10	0.89545	2.44843	0.07305	0.84129	False
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	24	15	0.76111	2.14066	0.07523	0.84129	False
REACTOME_FORMATION_OF_THE_POLYBROMO_BAF_PBAF_COMPLEX	12	5	1.02405	2.78444	0.07586	0.84129	False
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	10	4	1.23216	3.42862	0.08175	0.84129	False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES	25	16	0.71807	2.05047	0.08237	0.84129	False
REACTOME_SIGNALING_BY_WNT_IN_CANCER	19	11	0.83145	2.29665	0.08253	0.84129	False
REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274	13	6	0.96728	2.63077	0.08312	0.84129	False
REACTOME_RHOBTB1_GTPASE_CYCLE	14	7	0.95814	2.60685	0.08517	0.84129	False
REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	27	18	0.68273	1.97927	0.08951	0.84129	False
REACTOME_NPAS4_REGULATES_EXPRESSION_OF_TARGET_GENES	11	5	1.13475	3.11040	0.09044	0.84129	False
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION	14	7	0.91418	2.49473	0.09154	0.84129	False
REACTOME_ATTACHMENT_OF_BACTERIA_TO_EPITHELIAL_CELLS	13	21	-0.71541	0.48899	0.09239	0.84129	False
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES	27	18	0.65377	1.92278	0.09480	0.84129	False
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	10	17	-0.79238	0.45276	0.09816	0.84129	False
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	10	4	1.03349	2.81085	0.10028	0.84129	False
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	20	12	0.70416	2.02214	0.10391	0.84129	False
REACTOME_INFECTION_WITH_ENTEROBACTERIA	15	23	-0.66062	0.51653	0.10460	0.84129	False
REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS	14	21	-0.73548	0.47928	0.10582	0.84129	False
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	15	8	0.80857	2.24470	0.10795	0.84129	False
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	15	8	0.79827	2.22169	0.10925	0.84129	False
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	21	13	0.67561	1.96523	0.11055	0.84129	False
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	11	5	0.95905	2.60922	0.11150	0.84129	False
REACTOME_MAP2K_AND_MAPK_ACTIVATION	14	21	-0.71119	0.49106	0.11186	0.84129	False
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX	11	5	0.92920	2.53249	0.11544	0.84182	False
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX	23	15	0.65170	1.91880	0.11794	0.84182	False
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	11	5	0.89856	2.45606	0.11893	0.84182	False
REACTOME_DARPP_32_EVENTS	17	10	0.70820	2.03032	0.12953	0.87518	False
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS	12	6	0.82167	2.27430	0.13413	0.87518	False
REACTOME_CARDIOGENESIS	12	6	0.80392	2.23428	0.13620	0.87518	False
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	13	7	0.81638	2.26230	0.13790	0.87518	False
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	29	21	0.58128	1.78833	0.13927	0.87518	False
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	16	23	-0.61053	0.54306	0.14036	0.87518	False
REACTOME_RUNX2_REGULATES_OSTEOBLAST_DIFFERENTIATION	13	7	0.77218	2.16449	0.14619	0.87518	False
REACTOME_TRP_CHANNELS	19	12	0.63945	1.89544	0.14812	0.87518	False
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	14	8	0.75210	2.12145	0.15290	0.87518	False
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES	35	27	0.53818	1.71288	0.15315	0.87518	False
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS	21	14	0.62168	1.86205	0.15562	0.87518	False
REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE	15	9	0.71659	2.04743	0.16264	0.87518	False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX	23	16	0.59777	1.81807	0.16437	0.87518	False
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	14	8	0.68732	1.98838	0.16580	0.87518	False
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	21	14	0.58095	1.78773	0.16604	0.87518	False
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	13	19	-0.62308	0.53629	0.16679	0.87518	False
REACTOME_KIDNEY_DEVELOPMENT	23	16	0.57809	1.78263	0.17002	0.87518	False
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN	15	21	-0.60186	0.54779	0.17130	0.87518	False
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	15	9	0.67473	1.96351	0.17226	0.87518	False
REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS	10	5	0.80615	2.23926	0.17729	0.87518	False
REACTOME_DISORDERS_OF_DEVELOPMENTAL_BIOLOGY	10	5	0.80043	2.22650	0.17810	0.87518	False
REACTOME_METABOLISM_OF_POLYAMINES	11	6	0.78985	2.20307	0.18441	0.87518	False
REACTOME_DEGRADATION_OF_DVL	11	6	0.76223	2.14304	0.19030	0.87518	False
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	16	10	0.59259	1.80867	0.19424	0.87518	False
REACTOME_IRS_MEDIATED_SIGNALLING	26	19	0.50217	1.65230	0.19634	0.87518	False
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	11	6	0.73393	2.08324	0.19648	0.87518	False
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	16	22	-0.53363	0.58647	0.19921	0.87518	False
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	17	11	0.58151	1.78873	0.20132	0.87518	False
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	11	6	0.69838	2.01049	0.20268	0.87518	False
REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE	18	12	0.57808	1.78262	0.20536	0.87518	False
REACTOME_ELASTIC_FIBRE_FORMATION	19	13	0.56089	1.75224	0.21253	0.87518	False
REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS	13	8	0.69381	2.00133	0.21334	0.87518	False
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	19	13	0.54478	1.72423	0.21753	0.87518	False
REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE	12	7	0.64234	1.90093	0.22166	0.87518	False
REACTOME_ER_QUALITY_CONTROL_COMPARTMENT_ERQC	12	7	0.63199	1.88134	0.22311	0.87518	False
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION	20	14	0.53253	1.70324	0.22382	0.87518	False
REACTOME_DAG_AND_IP3_SIGNALING	23	17	0.51481	1.67332	0.23444	0.87518	False
REACTOME_FORMATION_OF_NEURONAL_PROGENITOR_AND_NEURONAL_BAF_NPBAF_AND_NBAF	13	8	0.60083	1.82363	0.23763	0.87518	False
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY	13	8	0.59368	1.81064	0.23942	0.87518	False
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS	13	8	0.59307	1.80954	0.23947	0.87518	False
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	13	8	0.58784	1.80010	0.24054	0.87518	False
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	22	16	0.48096	1.61762	0.24508	0.87518	False
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	14	9	0.58633	1.79739	0.24630	0.87518	False
REACTOME_RHOV_GTPASE_CYCLE	12	17	-0.51071	0.60007	0.25283	0.87518	False
REACTOME_RHOBTB_GTPASE_CYCLE	16	11	0.57898	1.78422	0.25465	0.87518	False
REACTOME_PI_3K_CASCADE_FGFR2	14	9	0.55272	1.73797	0.25578	0.87518	False
REACTOME_RECYCLING_PATHWAY_OF_L1	15	20	-0.48708	0.61442	0.25895	0.87518	False
REACTOME_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_II_CLASSICAL_CADHERINS	15	20	-0.48526	0.61554	0.25998	0.87518	False
REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX	15	20	-0.48260	0.61718	0.26136	0.87518	False
REACTOME_FLT3_SIGNALING_IN_DISEASE	15	20	-0.48080	0.61829	0.26248	0.87518	False
REACTOME_SIGNALING_BY_FLT3_FUSION_PROTEINS	13	18	-0.48774	0.61401	0.26292	0.87518	False
REACTOME_CO_STIMULATION_BY_CD28	15	20	-0.47472	0.62206	0.26588	0.87518	False
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	15	10	0.50560	1.65797	0.27335	0.87518	False
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS	10	6	0.65778	1.93050	0.27882	0.87518	False
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	10	6	0.65270	1.92072	0.27983	0.87518	False
REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS	10	6	0.65270	1.92072	0.27983	0.87518	False
REACTOME_RAP1_SIGNALLING	16	11	0.48873	1.63024	0.28440	0.87518	False
REACTOME_M_DECAY_DEGRADATION_OF_MATERNAL_MRNAS_BY_MATERNALLY_STORED_FACTORS	16	11	0.47065	1.60104	0.28581	0.87518	False
REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	16	11	0.48113	1.61791	0.28629	0.87518	False
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	10	6	0.61657	1.85257	0.28918	0.87518	False
REACTOME_FORMATION_OF_THE_EMBRYONIC_STEM_CELL_BAF_ESBAF_COMPLEX	10	6	0.59321	1.80979	0.29460	0.87518	False
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	10	6	0.57861	1.78356	0.29519	0.87518	False
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	10	6	0.57931	1.78481	0.29565	0.87518	False
REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS	23	28	-0.40489	0.66705	0.29991	0.87518	False
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	18	13	0.45935	1.58305	0.30252	0.87518	False
REACTOME_SPECIFICATION_OF_THE_NEURAL_PLATE_BORDER	11	7	0.58753	1.79953	0.30407	0.87518	False
REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS	20	15	0.45168	1.57096	0.31081	0.87518	False
REACTOME_ERK_MAPK_TARGETS	10	14	-0.48763	0.61408	0.31422	0.87518	False
REACTOME_CA_DEPENDENT_EVENTS	21	16	0.44406	1.55902	0.31596	0.87518	False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	19	14	0.42481	1.52930	0.31811	0.87518	False
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	11	7	0.52182	1.68509	0.31943	0.87518	False
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES	11	7	0.52747	1.69464	0.31967	0.87518	False
REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY	11	7	0.52474	1.69002	0.31990	0.87518	False
REACTOME_GPER1_SIGNALING	12	16	-0.46595	0.62754	0.32029	0.87518	False
REACTOME_ONCOGENE_INDUCED_SENESCENCE	21	16	0.43340	1.54250	0.32050	0.87518	False
REACTOME_TIE2_SIGNALING	12	16	-0.46170	0.63021	0.32294	0.87518	False
REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR	20	15	0.41933	1.52095	0.32374	0.87518	False
