gene	n_mutated_meta	n_mutated_nonmeta	odds_ratio	p_value	q_value	significant
ETV1	7	0	inf	0.01311	0.41751	False
PCDH15	12	3	4.70588	0.02505	0.41751	False
PDE4D	11	3	4.23077	0.04406	0.41751	False
ESRRG	5	0	inf	0.05756	0.41751	False
VTI1A	5	0	inf	0.05756	0.41751	False
PDE1C	5	0	inf	0.05756	0.41751	False
TP53	12	4	3.47059	0.05845	0.41751	False
CTNNA2	6	1	6.52632	0.11450	0.63613	False
DYM	6	1	6.52632	0.11450	0.63613	False
TRIP12	7	2	3.81250	0.16375	0.81875	False
ERG	24	32	0.59615	0.20932	0.90997	False
PSD3	6	2	3.21053	0.27299	0.90997	False
AGBL4	6	2	3.21053	0.27299	0.90997	False
DLG2	6	2	3.21053	0.27299	0.90997	False
NBEA	6	2	3.21053	0.27299	0.90997	False
PTEN	19	14	1.51136	0.41793	0.99926	False
ADGRB3	5	2	2.62931	0.43968	0.99926	False
APC	5	2	2.62931	0.43968	0.99926	False
NRXN1	5	2	2.62931	0.43968	0.99926	False
AFF4	5	2	2.62931	0.43968	0.99926	False
FAT3	5	2	2.62931	0.43968	0.99926	False
CNTN4	5	2	2.62931	0.43968	0.99926	False
UNC5D	6	3	2.10526	0.49147	1.00000	False
FOXP1	8	5	1.68727	0.55965	1.00000	False
CSMD3	6	9	0.63158	0.58352	1.00000	False
LRP1B	6	9	0.63158	0.58352	1.00000	False
MTUS2	5	3	1.72414	0.71748	1.00000	False
FAM135B	5	3	1.72414	0.71748	1.00000	False
AFDN	5	3	1.72414	0.71748	1.00000	False
MARCHF1	5	3	1.72414	0.71748	1.00000	False
MIPOL1	5	3	1.72414	0.71748	1.00000	False
CHD1	6	4	1.55263	0.74356	1.00000	False
ATRNL1	6	4	1.55263	0.74356	1.00000	False
FLRT2	6	4	1.55263	0.74356	1.00000	False
NLGN1	6	4	1.55263	0.74356	1.00000	False
CNTNAP2	8	6	1.38182	0.77788	1.00000	False
CCSER1	7	6	1.18750	1.00000	1.00000	False
KMT2C	7	6	1.18750	1.00000	1.00000	False
GALNTL6	6	5	1.22105	1.00000	1.00000	False
FHIT	5	4	1.27155	1.00000	1.00000	False
NRG1	7	6	1.18750	1.00000	1.00000	False
PTPRD	13	12	1.10500	1.00000	1.00000	False
TMPRSS2	30	30	1.00000	1.00000	1.00000	False
MACROD2	8	8	1.00000	1.00000	1.00000	False
RNLS	9	9	1.00000	1.00000	1.00000	False
NKAIN3	10	11	0.89194	1.00000	1.00000	False
PRKG1	7	6	1.18750	1.00000	1.00000	False
RBFOX1	6	5	1.22105	1.00000	1.00000	False
KYNU	7	8	0.85938	1.00000	1.00000	False
FOXA1	9	10	0.88333	1.00000	1.00000	False
