gene	n_mutated_meta	n_mutated_nonmeta	log_odds_ratio	odds_ratio	p_value	q_value	significant
PCDH15	12	3	1.56445	4.78005	0.02096	0.60642	False
PDE4D	11	3	1.45544	4.28637	0.03306	0.60642	False
TP53	12	4	1.32104	3.74730	0.03639	0.60642	False
CTNNA2	6	1	1.88437	6.58219	0.08650	0.74838	False
DYM	6	1	1.87546	6.52385	0.08722	0.74838	False
TRIP12	7	2	1.38108	3.97919	0.10054	0.74838	False
DLG2	6	2	1.51306	4.54060	0.12199	0.74838	False
ERG	24	32	-0.52582	0.59107	0.14781	0.74838	False
NBEA	6	2	1.24979	3.48959	0.15280	0.74838	False
AGBL4	6	2	1.17300	3.23167	0.16395	0.74838	False
PSD3	6	2	1.16648	3.21068	0.16464	0.74838	False
FAT3	5	2	1.05062	2.85942	0.24609	0.76757	False
AFF4	5	2	1.03653	2.81943	0.24924	0.76757	False
NRXN1	5	2	0.99990	2.71800	0.25621	0.76757	False
ADGRB3	5	2	0.98254	2.67123	0.25922	0.76757	False
APC	5	2	0.96418	2.62262	0.26068	0.76757	False
CNTN4	5	2	0.96409	2.62241	0.26097	0.76757	False
UNC5D	6	3	0.74374	2.10378	0.31165	0.83163	False
PTEN	19	14	0.41307	1.51145	0.31602	0.83163	False
FOXP1	8	5	0.52063	1.68309	0.38765	0.83876	False
CSMD3	6	9	-0.48265	0.61715	0.39501	0.83876	False
LRP1B	6	9	-0.47880	0.61952	0.39734	0.83876	False
MIPOL1	5	3	0.54601	1.72636	0.46851	0.83876	False
MTUS2	5	3	0.56235	1.75479	0.47315	0.83876	False
MARCHF1	5	3	0.54071	1.71722	0.47412	0.83876	False
AFDN	5	3	0.55245	1.73751	0.47498	0.83876	False
FAM135B	5	3	0.54089	1.71753	0.47508	0.83876	False
ATRNL1	6	4	0.43646	1.54721	0.51658	0.83876	False
CHD1	6	4	0.43637	1.54707	0.51674	0.83876	False
NLGN1	6	4	0.43775	1.54922	0.51998	0.83876	False
FLRT2	6	4	0.43809	1.54975	0.52003	0.83876	False
CNTNAP2	8	6	0.34540	1.41255	0.57611	0.90018	False
FHIT	5	4	0.23294	1.26230	0.73961	0.94136	False
GALNTL6	6	5	0.19691	1.21764	0.75614	0.94136	False
RBFOX1	6	5	0.19323	1.21316	0.77198	0.94136	False
KYNU	7	8	-0.15788	0.85395	0.77521	0.94136	False
NKAIN3	10	11	-0.13898	0.87025	0.77875	0.94136	False
PRKG1	7	6	0.16356	1.17770	0.78426	0.94136	False
NRG1	7	6	0.16319	1.17726	0.78675	0.94136	False
KMT2C	7	6	0.16341	1.17752	0.78853	0.94136	False
CCSER1	7	6	0.16352	1.17764	0.78885	0.94136	False
FOXA1	9	10	-0.13315	0.87533	0.79074	0.94136	False
PTPRD	13	12	0.09375	1.09829	0.83544	0.97145	False
MACROD2	8	8	-0.03285	0.96769	0.95511	0.99998	False
RNLS	9	9	0.00589	1.00591	0.99080	0.99998	False
TMPRSS2	30	30	-0.00149	0.99851	0.99667	0.99998	False
VTI1A	5	0	25.81017	161887254593.97809	0.99988	0.99998	False
ESRRG	5	0	25.83953	166711163888.38416	0.99988	0.99998	False
PDE1C	5	0	25.83571	166076400980.57568	0.99988	0.99998	False
ETV1	7	0	30.51672	17916128479728.43750	0.99998	0.99998	False
