sample	donor	tissue	purity	ploidy	WGD	cohort	Missing_Files
PPCG0086a	PPCG0086	Metastasis	0.941	2.169	False	COMBI	.
PPCG0086c	PPCG0086	Metastasis	0.872	2.296	False	COMBI	.
PPCG0086d	PPCG0086	Metastasis	0.932	2.292	False	COMBI	.
PPCG0086e	PPCG0086	Primary	0.840	2.168	False	COMBI	.
PPCG0087a	PPCG0087	Metastasis	0.352	4.830	True	COMBI	.
PPCG0087c	PPCG0087	Primary	0.370	2.741	True	COMBI	.
PPCG0088a	PPCG0088	Metastasis	0.791	2.087	False	COMBI	.
PPCG0088c	PPCG0088	Metastasis	0.655	2.138	True	COMBI	.
PPCG0088d	PPCG0088	Metastasis	0.826	2.126	False	COMBI	.
PPCG0089a	PPCG0089	Metastasis	0.913	2.411	False	COMBI	.
PPCG0089c	PPCG0089	Metastasis	0.905	2.309	False	COMBI	.
PPCG0089d	PPCG0089	Metastasis	0.925	2.410	False	COMBI	.
PPCG0089e	PPCG0089	Metastasis	0.897	2.308	False	COMBI	.
PPCG0089f	PPCG0089	Metastasis	0.889	3.707	False	COMBI	.
PPCG0089g	PPCG0089	Metastasis	0.925	2.316	False	COMBI	.
PPCG0089h	PPCG0089	Metastasis	0.905	2.314	False	COMBI	.
PPCG0089i	PPCG0089	Metastasis	0.800	2.384	False	COMBI	.
PPCG0089j	PPCG0089	Metastasis	0.824	2.427	False	COMBI	.
PPCG0102a	PPCG0102	Metastasis	0.913	2.129	False	COMBI	.
PPCG0102c	PPCG0102	Metastasis	0.900	2.137	False	COMBI	.
PPCG0102d	PPCG0102	Metastasis	0.887	2.088	False	COMBI	.
PPCG0102e	PPCG0102	Metastasis	0.834	2.125	False	COMBI	.
PPCG0102f	PPCG0102	Metastasis	0.894	2.127	False	COMBI	.
PPCG0105a	PPCG0105	Metastasis	0.734	3.630	True	COMBI	.
PPCG0179a	PPCG0179	Metastasis	0.827	2.707	True	COMBI	.
PPCG0179c	PPCG0179	Primary	0.681	2.719	True	COMBI	.
PPCG0179d	PPCG0179	Metastasis	0.777	2.882	True	COMBI	.
PPCG0179e	PPCG0179	Metastasis	0.913	2.784	True	COMBI	.
PPCG0179f	PPCG0179	Metastasis	0.812	2.804	True	COMBI	.
PPCG0179g	PPCG0179	Metastasis	0.701	2.840	True	COMBI	.
PPCG0179h	PPCG0179	Metastasis	0.768	2.867	True	COMBI	.
PPCG0179i	PPCG0179	Metastasis	0.669	2.742	True	COMBI	.
PPCG0179j	PPCG0179	Metastasis	0.804	2.838	True	COMBI	INDEL
PPCG0179k	PPCG0179	Metastasis	0.820	2.754	True	COMBI	.
PPCG0180a	PPCG0180	Metastasis	0.915	3.766	False	COMBI	.
PPCG0180c	PPCG0180	Primary	0.676	1.913	False	COMBI	.
PPCG0180d	PPCG0180	Metastasis	0.790	3.514	True	COMBI	.
PPCG0180e	PPCG0180	Metastasis	0.789	3.599	True	COMBI	.
PPCG0180f	PPCG0180	Metastasis	0.775	3.544	True	COMBI	.
PPCG0181a	PPCG0181	Metastasis	0.838	3.664	True	COMBI	.
PPCG0181c	PPCG0181	Primary	0.926	3.464	True	COMBI	.
PPCG0181d	PPCG0181	Metastasis	0.898	3.742	True	COMBI	.
PPCG0181e	PPCG0181	Metastasis	0.866	3.842	True	COMBI	.
PPCG0181f	PPCG0181	Metastasis	0.952	3.710	True	COMBI	.
PPCG0182a	PPCG0182	Metastasis	0.765	2.032	False	COMBI	.
PPCG0182c	PPCG0182	Metastasis	0.814	2.070	False	COMBI	.
PPCG0182d	PPCG0182	Metastasis	0.857	2.042	False	COMBI	.
PPCG0182e	PPCG0182	Metastasis	0.877	2.050	False	COMBI	.
PPCG0183a	PPCG0183	Metastasis	0.807	2.045	False	COMBI	.
PPCG0183c	PPCG0183	Metastasis	0.842	2.030	False	COMBI	.
PPCG0183d	PPCG0183	Metastasis	0.863	2.019	False	COMBI	.
PPCG0183e	PPCG0183	Metastasis	0.869	1.971	False	COMBI	.
PPCG0243a	PPCG0243	Metastasis	0.716	1.946	False	COMBI	.
PPCG0244a	PPCG0244	Metastasis	0.770	3.715	True	COMBI	.
PPCG0245a	PPCG0245	Metastasis	0.650	1.963	False	COMBI	.
PPCG0246a	PPCG0246	Metastasis	0.758	1.912	False	COMBI	.
PPCG0247a	PPCG0247	Metastasis	0.636	2.031	False	COMBI	.
PPCG0248a	PPCG0248	Metastasis	0.532	1.859	False	COMBI	.
PPCG0249a	PPCG0249	Metastasis	0.349	3.609	True	COMBI	.
PPCG0250a	PPCG0250	Metastasis	0.627	3.863	True	COMBI	.
PPCG0251a	PPCG0251	Metastasis	0.656	3.709	True	COMBI	.
PPCG0387a	PPCG0387	Primary	0.771	1.994	False	COMBI	.
PPCG0387c	PPCG0387	Metastasis	0.802	2.011	False	COMBI	.
PPCG0388a	PPCG0388	Primary	0.281	1.950	False	COMBI	.
